T000001	chr10:100027943..100027958,-	LOXL4
T138964	chr4:113206315..113206336,+	ALPK1
T138965	chr4:113206624..113206643,+	ALPK1
T138966	chr4:113206913..113206931,-	TIFA
T138967	chr4:113207001..113207043,-	TIFA
T138968	chr4:113207048..113207076,-	TIFA
T138969	chr4:113207277..113207292,-	TIFA
T138971	chr4:113218497..113218567,+	ALPK1
T138975	chr4:113437332..113437337,-	NEUROG2
T138978	chr4:113558014..113558073,-	C4orf21
T138979	chr4:113558079..113558090,-	C4orf21
T138980	chr4:113558272..113558356,+	LARP7
T138981	chr4:113558542..113558558,-	C4orf21
T139002	chr4:11370223..11370243,+	MIR572
T139005	chr4:113739244..113739320,+	ANK2
T139006	chr4:113739369..113739398,+	ANK2
T139007	chr4:11374001..11374006,+	RNPS1P1
T139037	chr4:114066764..114066800,+	ANK2
T139038	chr4:114066831..114066852,+	ANK2
T139050	chr4:114214566..114214602,+	ANK2
T139055	chr4:114238857..114238899,+	ANK2
T139076	chr4:114303804..114303820,+	ANK2
T139079	chr4:11430494..11430527,-	HS3ST1
T139098	chr4:114682288..114682309,-	CAMK2D
T139100	chr4:114682326..114682356,-	CAMK2D
T139102	chr4:114682393..114682404,-	CAMK2D
T139103	chr4:114682597..114682608,-	CAMK2D
T139104	chr4:114682612..114682623,-	CAMK2D
T139105	chr4:114682735..114682746,-	CAMK2D
T139106	chr4:114682880..114682931,-	CAMK2D
T139107	chr4:114682936..114682949,-	CAMK2D
T139108	chr4:114683412..114683431,-	CAMK2D
T139109	chr4:114683496..114683501,-	CAMK2D
T139128	chr4:114899807..114899826,-	ARSJ
T139129	chr4:114900126..114900138,-	ARSJ
T139130	chr4:114900167..114900191,-	ARSJ
T139131	chr4:114900254..114900262,-	ARSJ
T139132	chr4:114900757..114900779,-	ARSJ
T139133	chr4:114900781..114900830,-	ARSJ
T139136	chr4:114901044..114901065,-	ARSJ
T139137	chr4:114901128..114901136,-	ARSJ
T139152	chr4:115519894..115519983,+	UGT8
T139154	chr4:115520059..115520073,+	UGT8
T139155	chr4:115520084..115520095,+	UGT8
T139156	chr4:115520096..115520107,+	UGT8
T139161	chr4:116034768..116034781,-	NDST4
T139162	chr4:116034979..116035046,-	NDST4
T139177	chr4:1164956..1164968,-	SPON2
T139178	chr4:1165106..1165131,-	SPON2
T139180	chr4:1165260..1165276,-	SPON2
T139184	chr4:1166363..1166378,-	SPON2
T139187	chr4:1166954..1166973,-	SPON2
T139188	chr4:1167293..1167308,-	SPON2
T139206	chr4:118006658..118006694,-	TRAM1L1
T139207	chr4:118006697..118006741,-	TRAM1L1
T139220	chr4:1188924..1188945,-	SPON2
T139222	chr4:118954471..118954482,+	NDST3
T139224	chr4:118954513..118954541,+	NDST3
T139225	chr4:118954794..118954869,+	NDST3
T139229	chr4:119199904..119199923,+	SNHG8
T139230	chr4:119200341..119200348,+	SNORA24
T139232	chr4:119234424..119234465,-	PRSS12
T139235	chr4:119274062..119274072,-	PRSS12
T139237	chr4:119274121..119274219,-	PRSS12
T139244	chr4:119606528..119606566,+	METTL14
T139245	chr4:119606592..119606603,+	METTL14
T139251	chr4:119757239..119757305,-	SEC24D
T139252	chr4:119757322..119757334,-	SEC24D
T139253	chr4:119757345..119757356,-	SEC24D
T139257	chr4:119809984..119810024,+	SYNPO2
T139259	chr4:119810075..119810133,+	SYNPO2
T139261	chr4:119810242..119810263,+	SYNPO2
T139264	chr4:1198869..1198911,-	SPON2
T139275	chr4:119947849..119947867,+	SYNPO2
T139276	chr4:119947900..119947917,+	SYNPO2
T139281	chr4:119948490..119948536,+	SYNPO2
T139310	chr4:120056981..120057014,+	MYOZ2
T139320	chr4:120133818..120133831,+	USP53
T139321	chr4:120133857..120133881,+	USP53
T139322	chr4:120133968..120133991,+	USP53
T139331	chr4:120221699..120221820,-	C4orf3
T139333	chr4:120221823..120221840,-	C4orf3
T139351	chr4:120548405..120548466,-	PDE5A
T139356	chr4:120549047..120549058,-	PDE5A
T139361	chr4:120549851..120549880,-	PDE5A
T139363	chr4:120549931..120549938,-	PDE5A
T139365	chr4:120550160..120550201,-	PDE5A
T139375	chr4:120987933..120988022,-	MAD2L1
T139388	chr4:121843402..121843416,+	PRDM5
T139389	chr4:121843844..121843904,-	PRDM5
T139390	chr4:121843985..121844024,-	PRDM5
T139395	chr4:121993675..121993698,-	NDNF
T139399	chr4:122085469..122085486,-	TNIP3
T139407	chr4:122302163..122302176,-	QRFPR
T139421	chr4:122593722..122593755,-	ANXA5
T139422	chr4:122593760..122593789,-	ANXA5
T139425	chr4:122599074..122599120,-	ANXA5
T139426	chr4:122599595..122599623,-	ANXA5
T139433	chr4:122607501..122607534,-	ANXA5
T139451	chr4:122617754..122617792,-	ANXA5
T139453	chr4:122618095..122618161,-	ANXA5
T139456	chr4:122686261..122686324,-	TMEM155
T139457	chr4:122722466..122722556,+	EXOSC9
T139458	chr4:122722558..122722567,+	EXOSC9
T139461	chr4:122744998..122745093,-	CCNA2
T139462	chr4:122791565..122791577,-	BBS7
T139463	chr4:122791583..122791657,-	BBS7
T139465	chr4:122873166..122873237,-	TRPC3
T139467	chr4:123073464..123073547,+	KIAA1109
T139468	chr4:123073610..123073629,+	KIAA1109
T139469	chr4:123073672..123073679,+	KIAA1109
T139471	chr4:123161126..123161135,+	KIAA1109
T139487	chr4:123653583..123653629,-	CETN4P
T139488	chr4:123653658..123653681,-	CETN4P
T139489	chr4:123653807..123653869,+	BBS12
T139490	chr4:123653882..123653965,+	BBS12
T139493	chr4:123747834..123747839,+	FGF2
T139495	chr4:123748435..123748456,+	FGF2
T139508	chr4:123843707..123843766,-	NUDT6
T139509	chr4:123844084..123844134,-	NUDT6
T139510	chr4:123844225..123844277,+	SPATA5
T139511	chr4:123844281..123844297,+	SPATA5
T139517	chr4:1242463..1242526,-	CTBP1
T139519	chr4:1242693..1242736,+	C4orf42
T139520	chr4:1242871..1242942,-	CTBP1
T139521	chr4:1243035..1243075,+	C4orf42
T139522	chr4:124317940..124317987,+	SPRY1
T139523	chr4:124318002..124318013,+	SPRY1
T139524	chr4:1243182..1243244,-	CTBP1
T139525	chr4:124319011..124319058,+	SPRY1
T139526	chr4:124320682..124320702,+	SPRY1
T139527	chr4:1243219..1243269,+	C4orf42
T139528	chr4:124323702..124323741,+	SPRY1
T139529	chr4:124361..124372,+	ZNF718
T139531	chr4:124374..124410,+	ZNF718
T139558	chr4:125633851..125633862,-	ANKRD50
T139559	chr4:125633876..125633897,-	ANKRD50
T139604	chr4:1283659..1283705,+	MAEA
T139607	chr4:128544091..128544132,+	INTU
T139608	chr4:128554081..128554121,+	INTU
T139609	chr4:128554161..128554172,+	INTU
T139616	chr4:128703425..128703496,+	HSPA4L
T139617	chr4:128703504..128703507,+	HSPA4L
T139619	chr4:128802038..128802095,+	PLK4
T139623	chr4:128886288..128886340,-	MFSD8
T139624	chr4:128886359..128886392,-	MFSD8
T139625	chr4:128886402..128886414,+	C4orf29
T139626	chr4:128886424..128886467,+	C4orf29
T139627	chr4:128886476..128886509,+	C4orf29
T139628	chr4:128886549..128886576,+	C4orf29
T139629	chr4:128886584..128886654,+	C4orf29
T139630	chr4:128887069..128887144,-	MFSD8
T139631	chr4:128981932..128981949,+	LARP1B
T139632	chr4:128981954..128981979,+	LARP1B
T139633	chr4:128981999..128982013,+	LARP1B
T139634	chr4:128982416..128982425,+	LARP1B
T139635	chr4:128982430..128982488,+	LARP1B
T139636	chr4:128982491..128982512,+	LARP1B
T139648	chr4:129207894..129207915,-	PGRMC2
T139649	chr4:129207950..129207962,-	PGRMC2
T139650	chr4:129208030..129208034,-	PGRMC2
T139652	chr4:129208888..129208921,-	PGRMC2
T139653	chr4:129208940..129208976,-	PGRMC2
T139654	chr4:129209221..129209251,-	PGRMC2
T139655	chr4:129209318..129209368,-	PGRMC2
T139674	chr4:129730815..129730826,+	PHF17
T139675	chr4:129730839..129730904,+	PHF17
T139676	chr4:129730947..129730984,+	PHF17
T139677	chr4:129731122..129731141,+	PHF17
T139679	chr4:129732152..129732187,+	PHF17
T139680	chr4:129732419..129732453,+	PHF17
T139681	chr4:129732467..129732481,+	PHF17
T139683	chr4:129732545..129732557,+	PHF17
T139690	chr4:129893584..129893586,-	SCLT1
T139693	chr4:130014609..130014701,-	SCLT1
T139694	chr4:130014705..130014728,-	SCLT1
T139695	chr4:130014729..130014777,-	SCLT1
T139696	chr4:130014836..130014912,+	C4orf33
T139698	chr4:130017268..130017322,+	C4orf33
T139699	chr4:130017338..130017347,+	C4orf33
T139732	chr4:13338009..13338012,+	HSP90AB2P
T139739	chr4:134070439..134070456,+	PCDH10
T139740	chr4:134071300..134071321,+	PCDH10
T139742	chr4:134073241..134073270,+	PCDH10
T139743	chr4:134073396..134073407,+	PCDH10
T139744	chr4:134073719..134073723,+	PCDH10
T139745	chr4:134076051..134076081,+	PCDH10
T139749	chr4:1340830..1340867,+	KIAA1530
T139753	chr4:1340986..1341042,+	KIAA1530
T139770	chr4:13485937..13485971,-	RAB28
T139774	chr4:135122928..135122954,-	PABPC4L
T139775	chr4:135123028..135123047,-	PABPC4L
T139776	chr4:135123050..135123068,-	PABPC4L
T139785	chr4:13546632..13546662,-	NKX3-2
T139800	chr4:13616020..13616038,-	BOD1L
T139801	chr4:13616142..13616196,-	BOD1L
T139802	chr4:13629269..13629372,-	BOD1L
T139827	chr4:138453606..138453673,-	PCDH18
T139858	chr4:139163058..139163082,-	SLC7A11
T139859	chr4:139163232..139163245,-	SLC7A11
T139863	chr4:139163491..139163510,-	SLC7A11
T139865	chr4:139163558..139163582,-	SLC7A11
T139923	chr4:139936567..139936582,+	CCRN4L
T139926	chr4:139936905..139936944,+	CCRN4L
T139933	chr4:140005341..140005411,-	ELF2
T139934	chr4:140005443..140005527,-	ELF2
T139944	chr4:140098339..140098392,-	ELF2
T139952	chr4:140201333..140201396,-	C4orf49
T139953	chr4:140201597..140201617,-	C4orf49
T139956	chr4:140216948..140216999,-	NDUFC1
T139957	chr4:140217014..140217019,-	NDUFC1
T139958	chr4:140222368..140222393,-	NDUFC1
T139959	chr4:140222435..140222598,-	NDUFC1
T139960	chr4:140222640..140222696,+	NAA15
T139961	chr4:140223614..140223668,-	NDUFC1
T139962	chr4:140223670..140223682,-	NDUFC1
T139969	chr4:140374966..140375016,+	RAB33B
T139972	chr4:140375224..140375317,+	RAB33B
T139973	chr4:140375321..140375338,+	RAB33B
T139976	chr4:140477339..140477350,-	SETD7
T139977	chr4:140477353..140477400,-	SETD7
T139978	chr4:140477404..140477409,-	SETD7
T139979	chr4:140477535..140477623,-	SETD7
T139980	chr4:140477629..140477640,-	SETD7
T139982	chr4:140477910..140477922,-	SETD7
T139983	chr4:140477928..140477990,-	SETD7
T139984	chr4:140478036..140478062,-	SETD7
T139985	chr4:140478299..140478335,-	SETD7
T139986	chr4:140478355..140478368,-	SETD7
T139997	chr4:140586958..140586988,+	MGST2
T139998	chr4:140586992..140587013,+	MGST2
T140000	chr4:140587061..140587070,+	MGST2
T140001	chr4:140587080..140587083,+	MGST2
T140002	chr4:140587092..140587103,+	MGST2
T140004	chr4:140587123..140587175,+	MGST2
T140005	chr4:140587176..140587189,+	MGST2
T140043	chr4:141074190..141074215,-	MAML3
T140044	chr4:141074238..141074252,-	MAML3
T140045	chr4:141074329..141074385,-	MAML3
T140046	chr4:141074427..141074448,-	MAML3
T140047	chr4:141074616..141074637,-	MAML3
T140048	chr4:141075240..141075269,-	MAML3
T140049	chr4:141075330..141075381,-	MAML3
T140050	chr4:141075570..141075586,-	MAML3
T140064	chr4:141178456..141178472,+	SCOC
T140073	chr4:141294769..141294821,+	SCOC
T140074	chr4:141294822..141294849,+	SCOC
T140079	chr4:141348789..141348819,-	CLGN
T140080	chr4:141348821..141348824,-	CLGN
T140081	chr4:141348999..141349013,-	CLGN
T140086	chr4:141445311..141445332,+	ELMOD2
T140087	chr4:141445333..141445362,+	ELMOD2
T140088	chr4:141445363..141445380,+	ELMOD2
T140099	chr4:141677267..141677291,-	TBC1D9
T140101	chr4:141677466..141677556,-	TBC1D9
T140103	chr4:141677692..141677710,-	TBC1D9
T140104	chr4:141677822..141677849,-	TBC1D9
T140105	chr4:141677918..141677936,-	TBC1D9
T140106	chr4:141677939..141677961,-	TBC1D9
T140107	chr4:141677965..141677986,-	TBC1D9
T140116	chr4:142053722..142053729,-	RNF150
T140119	chr4:142054424..142054435,-	RNF150
T140123	chr4:142054590..142054648,-	RNF150
T140124	chr4:142054674..142054686,-	RNF150
T140129	chr4:142142035..142142130,+	ZNF330
T140138	chr4:142557717..142557757,+	IL15
T140139	chr4:142557771..142557813,+	IL15
T140140	chr4:142558014..142558052,+	IL15
T140141	chr4:142558078..142558101,+	IL15
T140151	chr4:143227088..143227105,-	INPP4B
T140154	chr4:143324168..143324180,-	INPP4B
T140158	chr4:143326494..143326501,-	INPP4B
T140159	chr4:143326533..143326546,-	INPP4B
T140160	chr4:143326561..143326632,-	INPP4B
T140161	chr4:143326634..143326645,-	INPP4B
T140165	chr4:143395551..143395584,-	INPP4B
T140184	chr4:143767428..143767464,-	INPP4B
T140185	chr4:143767467..143767472,-	INPP4B
T140187	chr4:143767646..143767653,-	INPP4B
T140189	chr4:143767679..143767699,-	INPP4B
T140192	chr4:144106063..144106078,+	USP38
T140193	chr4:144106080..144106144,+	USP38
T140194	chr4:144106194..144106203,+	USP38
T140195	chr4:144106215..144106227,+	USP38
T140199	chr4:144257552..144257580,+	GAB1
T140200	chr4:144257585..144257614,+	GAB1
T140202	chr4:144257700..144257721,+	GAB1
T140203	chr4:144257726..144257735,+	GAB1
T140205	chr4:144258021..144258052,+	GAB1
T140206	chr4:144258054..144258060,+	GAB1
T140208	chr4:144258288..144258353,+	GAB1
T140215	chr4:144303093..144303132,+	GAB1
T140225	chr4:144434584..144434709,+	SMARCA5
T140226	chr4:144434712..144434722,+	SMARCA5
T140227	chr4:144434740..144434751,+	SMARCA5
T140228	chr4:144434814..144434932,+	SMARCA5
T140229	chr4:144435112..144435176,+	SMARCA5
T140231	chr4:144464715..144464750,+	SMARCA5
T140234	chr4:144480603..144480630,+	GUSBP5
T140257	chr4:145567297..145567355,+	HHIP
T140263	chr4:145567538..145567544,+	HHIP
T140265	chr4:145567767..145567851,+	HHIP
T140279	chr4:146019296..146019330,-	ANAPC10
T140280	chr4:146019335..146019377,-	ANAPC10
T140281	chr4:146019421..146019495,+	ABCE1
T140282	chr4:146019721..146019724,-	ANAPC10
T140286	chr4:146101304..146101326,-	OTUD4
T140287	chr4:146101332..146101350,-	OTUD4
T140288	chr4:146101648..146101755,-	OTUD4
T140289	chr4:146101767..146101783,-	OTUD4
T140295	chr4:146296551..146296569,+	RTN3P1
T140296	chr4:146296807..146296819,+	RTN3P1
T140297	chr4:146297006..146297039,+	RTN3P1
T140301	chr4:146402795..146402816,+	SMAD1
T140302	chr4:146402827..146402839,+	SMAD1
T140303	chr4:146402843..146402864,+	SMAD1
T140304	chr4:146402925..146402957,+	SMAD1
T140305	chr4:146402966..146402985,+	SMAD1
T140306	chr4:146402997..146403020,+	SMAD1
T140311	chr4:146404119..146404158,+	SMAD1
T140319	chr4:146436110..146436135,+	SMAD1
T140322	chr4:146540522..146540548,+	MMAA
T140330	chr4:146859588..146859615,-	ZNF827
T140331	chr4:146859626..146859669,-	ZNF827
T140332	chr4:146859887..146859921,-	ZNF827
T140333	chr4:146859927..146860055,-	ZNF827
T140334	chr4:146860163..146860188,-	ZNF827
T140340	chr4:147096854..147096912,+	LSM6
T140344	chr4:147442817..147442829,-	SLC10A7
T140345	chr4:147443001..147443019,-	SLC10A7
T140346	chr4:147443027..147443038,-	SLC10A7
T140347	chr4:147443043..147443113,-	SLC10A7
T140348	chr4:147443475..147443486,-	SLC10A7
T140357	chr4:147866993..147867021,-	TTC29
T140366	chr4:148402237..148402276,+	EDNRA
T140367	chr4:148402291..148402302,+	EDNRA
T140372	chr4:148538517..148538592,+	TMEM184C
T140373	chr4:148538603..148538634,+	TMEM184C
T140374	chr4:148538656..148538665,+	TMEM184C
T140375	chr4:148538701..148538717,+	TMEM184C
T140383	chr4:148605219..148605264,-	PRMT10
T140384	chr4:148605265..148605322,-	PRMT10
T140388	chr4:148653206..148653219,+	ARHGAP10
T140389	chr4:148653221..148653295,+	ARHGAP10
T140391	chr4:148653426..148653433,+	ARHGAP10
T140417	chr4:149363494..149363543,-	NR3C2
T140418	chr4:149363544..149363583,-	NR3C2
T140419	chr4:149363637..149363651,-	NR3C2
T140426	chr4:149365827..149365870,-	NR3C2
T140427	chr4:149366111..149366128,-	NR3C2
T140432	chr4:15004067..15004113,+	CPEB2
T140433	chr4:15004165..15004176,+	CPEB2
T140444	chr4:15005235..15005252,+	CPEB2
T140445	chr4:15005391..15005489,+	CPEB2
T140458	chr4:150999288..150999306,+	DCLK2
T140459	chr4:150999316..150999339,+	DCLK2
T140460	chr4:150999349..150999359,+	DCLK2
T140462	chr4:150999439..150999471,+	DCLK2
T140465	chr4:150999578..150999603,+	DCLK2
T140467	chr4:150999766..150999803,+	DCLK2
T140468	chr4:150999916..150999967,+	DCLK2
T140486	chr4:151502911..151502924,-	LRBA
T140490	chr4:151503277..151503309,+	MAB21L2
T140525	chr4:151936372..151936379,-	LRBA
T140527	chr4:151936416..151936444,-	LRBA
T140528	chr4:151936865..151936891,-	LRBA
T140529	chr4:151936896..151936901,-	LRBA
T140534	chr4:152020715..152020725,+	RPS3A
T140535	chr4:152020736..152020788,+	RPS3A
T140536	chr4:152020789..152020800,+	RPS3A
T140540	chr4:152086844..152086857,-	SH3D19
T140545	chr4:152147524..152147578,-	SH3D19
T140546	chr4:152147579..152147599,-	SH3D19
T140550	chr4:152149033..152149117,-	SH3D19
T140556	chr4:152330095..152330138,+	FAM160A1
T140557	chr4:152330321..152330350,+	FAM160A1
T140573	chr4:152682129..152682170,-	PET112
T140586	chr4:153273701..153273710,-	FBXW7
T140587	chr4:153273715..153273745,-	FBXW7
T140591	chr4:153273871..153273949,-	FBXW7
T140599	chr4:153332886..153332907,-	FBXW7
T140605	chr4:15341593..15341623,+	C1QTNF7
T140610	chr4:153456180..153456193,-	FBXW7
T140613	chr4:153457523..153457575,+	MIR4453
T140623	chr4:153601102..153601128,-	TMEM154
T140625	chr4:153601196..153601203,-	TMEM154
T140626	chr4:153700864..153700930,-	TIGD4
T140627	chr4:153700985..153701049,+	ARFIP1
T140628	chr4:153701081..153701164,+	ARFIP1
T140629	chr4:153701288..153701299,+	ARFIP1
T140633	chr4:153771794..153771826,+	ARFIP1
T140636	chr4:153857031..153857047,+	FHDC1
T140637	chr4:153857468..153857520,+	FHDC1
T140643	chr4:154073469..154073523,+	TRIM2
T140644	chr4:154074217..154074244,+	TRIM2
T140649	chr4:154125545..154125552,+	TRIM2
T140650	chr4:154125565..154125626,+	TRIM2
T140659	chr4:154178520..154178553,+	TRIM2
T140667	chr4:154260113..154260124,+	TRIM2
T140668	chr4:154265784..154265819,+	MND1
T140669	chr4:154265825..154265875,+	MND1
T140674	chr4:154387480..154387536,+	KIAA0922
T140736	chr4:154605395..154605471,+	TLR2
T140741	chr4:154681022..154681033,-	RNF175
T140742	chr4:154681108..154681198,-	RNF175
T140743	chr4:154681317..154681353,-	RNF175
T140755	chr4:154710210..154710243,-	SFRP2
T140760	chr4:15471497..15471529,+	CC2D2A
T140761	chr4:15480810..15480819,+	CC2D2A
T140762	chr4:15480828..15480868,+	CC2D2A
T140763	chr4:15480872..15480883,+	CC2D2A
T140776	chr4:155412916..155412956,-	DCHS2
T140778	chr4:155471528..155471592,-	PLRG1
T140780	chr4:155484155..155484177,+	FGB
T140883	chr4:155511887..155511903,-	FGA
T140921	chr4:155533798..155533816,-	FGG
T140922	chr4:155548101..155548148,+	LRAT
T140924	chr4:155548151..155548165,+	LRAT
T140926	chr4:155665145..155665158,+	LRAT
T140941	chr4:156297919..156297937,-	MAP9
T140942	chr4:156297949..156297996,-	MAP9
T140944	chr4:156298087..156298127,-	MAP9
T140958	chr4:15656911..15656922,-	FBXL5
T140959	chr4:15656923..15657009,-	FBXL5
T140964	chr4:156587979..156588015,+	GUCY1A3
T140965	chr4:156588081..156588093,+	GUCY1A3
T140966	chr4:156588133..156588154,+	GUCY1A3
T140967	chr4:156588249..156588260,+	GUCY1A3
T140968	chr4:156588397..156588406,+	GUCY1A3
T140969	chr4:156588447..156588458,+	GUCY1A3
T140970	chr4:156588481..156588516,+	GUCY1A3
T140971	chr4:156588524..156588548,+	GUCY1A3
T140972	chr4:156588806..156588823,+	GUCY1A3
T140974	chr4:156588865..156588882,+	GUCY1A3
T140975	chr4:156588927..156588939,+	GUCY1A3
T140976	chr4:15661444..15661469,-	FBXL5
T140985	chr4:156680153..156680242,+	GUCY1B3
T140989	chr4:156775910..156775941,+	TDO2
T140991	chr4:156824840..156824858,+	TDO2
T140992	chr4:15683037..15683055,-	FBXL5
T140993	chr4:15683079..15683115,-	FBXL5
T140997	chr4:15683118..15683226,-	FBXL5
T140998	chr4:15683230..15683248,-	FBXL5
T140999	chr4:15683260..15683337,+	FAM200B
T141000	chr4:15683345..15683352,+	FAM200B
T141001	chr4:15683354..15683368,+	FAM200B
T141002	chr4:15683369..15683390,+	FAM200B
T141004	chr4:15683438..15683482,+	FAM200B
T141005	chr4:156875003..156875074,-	CTSO
T141006	chr4:156875081..156875092,-	CTSO
T141014	chr4:15704666..15704677,+	BST1
T141015	chr4:15704679..15704733,+	BST1
T141036	chr4:157695752..157695777,-	PDGFC
T141042	chr4:15779943..15779982,+	CD38
T141044	chr4:15780067..15780074,+	CD38
T141058	chr4:157892102..157892128,-	PDGFC
T141059	chr4:157892139..157892162,-	PDGFC
T141060	chr4:157892167..157892217,-	PDGFC
T141063	chr4:157892356..157892368,-	PDGFC
T141065	chr4:157892498..157892532,-	PDGFC
T141066	chr4:157892733..157892740,-	PDGFC
T141067	chr4:157892921..157892990,-	PDGFC
T141073	chr4:157997240..157997259,+	GLRB
T141074	chr4:157997273..157997391,+	GLRB
T141083	chr4:158141899..158141980,+	GRIA2
T141121	chr4:159091702..159091713,-	FAM198B
T141123	chr4:159091792..159091884,-	FAM198B
T141128	chr4:159092525..159092574,-	FAM198B
T141131	chr4:159092626..159092672,-	FAM198B
T141133	chr4:159092769..159092780,-	FAM198B
T141134	chr4:159093517..159093533,-	FAM198B
T141136	chr4:159093599..159093608,-	FAM198B
T141137	chr4:159093698..159093707,-	FAM198B
T141138	chr4:159094078..159094085,-	FAM198B
T141139	chr4:159094134..159094145,-	FAM198B
T141140	chr4:159094160..159094185,-	FAM198B
T141147	chr4:159131486..159131501,+	TMEM144
T141148	chr4:159131547..159131561,+	TMEM144
T141149	chr4:159131566..159131577,+	TMEM144
T141152	chr4:159131630..159131647,+	TMEM144
T141155	chr4:159131732..159131739,+	TMEM144
T141176	chr4:15939963..15939978,-	FGFBP1
T141181	chr4:159443024..159443056,+	RXFP1
T141182	chr4:159443090..159443112,+	RXFP1
T141190	chr4:159592974..159592992,-	C4orf46
T141191	chr4:159592996..159593059,-	C4orf46
T141192	chr4:159593147..159593175,-	C4orf46
T141193	chr4:159593179..159593220,-	C4orf46
T141194	chr4:159593271..159593295,+	ETFDH
T141195	chr4:159593388..159593411,+	ETFDH
T141196	chr4:159593418..159593517,+	ETFDH
T141206	chr4:159644465..159644491,-	PPID
T141207	chr4:159644507..159644584,-	PPID
T141209	chr4:15964788..15964805,-	FGFBP2
T141215	chr4:159690108..159690123,+	FNIP2
T141216	chr4:159690128..159690187,+	FNIP2
T141276	chr4:160024932..160024956,+	RAPGEF2
T141277	chr4:160025195..160025268,+	RAPGEF2
T141278	chr4:160025300..160025318,+	RAPGEF2
T141284	chr4:160050022..160050028,+	MIR3688-2
T141289	chr4:160149339..160149350,+	RAPGEF2
T141290	chr4:160149353..160149380,+	RAPGEF2
T141291	chr4:160150491..160150555,+	RAPGEF2
T141305	chr4:160188955..160188968,+	RAPGEF2
T141319	chr4:160264133..160264142,+	RAPGEF2
T141336	chr4:16085314..16085334,-	PROM1
T141337	chr4:16085340..16085358,-	PROM1
T141338	chr4:16085625..16085652,-	PROM1
T141339	chr4:16085657..16085660,-	PROM1
T141347	chr4:16228083..16228108,-	TAPT1
T141348	chr4:16228120..16228129,-	TAPT1
T141351	chr4:16228290..16228300,-	TAPT1
T141352	chr4:16228508..16228543,-	TAPT1
T141369	chr4:163085141..163085162,-	FSTL5
T141375	chr4:164087945..164087959,-	NAF1
T141376	chr4:164087974..164088088,-	NAF1
T141380	chr4:164253738..164253756,-	NPY1R
T141382	chr4:164265035..164265079,+	NPY5R
T141384	chr4:164265783..164265828,-	NPY1R
T141394	chr4:164415635..164415669,+	C4orf43
T141395	chr4:164415670..164415690,+	C4orf43
T141396	chr4:164415785..164415848,+	C4orf43
T141397	chr4:164415855..164415866,+	C4orf43
T141398	chr4:164415871..164415899,+	C4orf43
T141399	chr4:164415913..164415917,+	C4orf43
T141408	chr4:164534657..164534701,-	MARCH1
T141423	chr4:165304597..165304612,-	MARCH1
T141425	chr4:165305086..165305179,-	MARCH1
T141446	chr4:165864400..165864421,+	NACA3P
T141449	chr4:165878094..165878109,+	C4orf39
T141450	chr4:165878114..165878159,+	C4orf39
T141451	chr4:165898744..165898754,-	TRIM61
T141452	chr4:165898768..165898818,-	TRIM61
T141453	chr4:165898825..165898833,-	TRIM61
T141457	chr4:166033973..166033999,-	TMEM192
T141458	chr4:166034004..166034026,-	TMEM192
T141459	chr4:166034029..166034045,-	TMEM192
T141462	chr4:166128610..166128628,+	KLHL2
T141463	chr4:166128705..166128719,+	KLHL2
T141464	chr4:166128735..166128813,+	KLHL2
T141465	chr4:166128818..166128835,+	KLHL2
T141466	chr4:166128836..166128839,+	KLHL2
T141469	chr4:166248811..166248901,+	MSMO1
T141470	chr4:166249040..166249045,+	MSMO1
T141478	chr4:166300204..166300240,+	CPE
T141507	chr4:166794383..166794399,+	TLL1
T141513	chr4:166794862..166794896,+	TLL1
T141558	chr4:168155632..168155661,-	SPOCK3
T141575	chr4:16900242..16900317,-	LDB2
T141579	chr4:16900533..16900584,-	LDB2
T141590	chr4:169239872..169239881,-	DDX60
T141591	chr4:169239894..169239913,-	DDX60
T141592	chr4:169239921..169239972,-	DDX60
T141618	chr4:169401630..169401649,-	DDX60L
T141627	chr4:169418195..169418211,+	PALLD
T141648	chr4:169552329..169552340,+	PALLD
T141655	chr4:169552748..169552774,+	PALLD
T141658	chr4:169552854..169552859,+	PALLD
T141660	chr4:169552935..169552958,+	PALLD
T141666	chr4:169575875..169575902,+	PALLD
T141672	chr4:169633250..169633285,+	PALLD
T141684	chr4:169753237..169753255,+	PALLD
T141689	chr4:169799281..169799339,+	PALLD
T141690	chr4:169799340..169799367,+	PALLD
T141692	chr4:169842683..169842701,+	PALLD
T141693	chr4:169842707..169842741,+	PALLD
T141698	chr4:169931277..169931286,-	CBR4
T141699	chr4:169931323..169931327,-	CBR4
T141700	chr4:169931393..169931436,-	CBR4
T141706	chr4:170190216..170190228,-	SH3RF1
T141707	chr4:170192092..170192115,-	SH3RF1
T141709	chr4:170192158..170192170,-	SH3RF1
T141710	chr4:170192185..170192206,-	SH3RF1
T141715	chr4:170533723..170533789,-	NEK1
T141720	chr4:170541660..170541676,+	CLCN3
T141721	chr4:170541678..170541749,+	CLCN3
T141722	chr4:170541780..170541800,+	CLCN3
T141723	chr4:170541808..170541823,+	CLCN3
T141724	chr4:170541835..170541874,+	CLCN3
T141726	chr4:170581290..170581301,+	CLCN3
T141727	chr4:170581337..170581344,+	CLCN3
T141729	chr4:170581379..170581415,+	CLCN3
T141733	chr4:170679024..170679102,-	C4orf27
T141734	chr4:170679110..170679121,-	C4orf27
T141753	chr4:170947459..170947472,-	MFAP3L
